1, Heb 11:32—12:2, Acts 8:26-40
2, 2 Chron 29, Acts 9:1-31
3, 2 Chron 30, Acts 9:32-43
4, 2 Kings 18, Acts 10:1-23
5, 2 Kings 19, Acts 10:24-48
6, 2 Kings 20, Acts 11:1-18
7, 2 Chron 33, Acts 11:19-30
8, 2 Kings 21, Acts 12:1-24
9, 2 Kings 22, Acts 12:25—13:12
10, 2 Kings 23, Acts 13:13-43
11, 2 Kings 24, Acts 13:44—14:7
12, 2 Kings 25, Acts 14:8-28
13, Judith 4, Acts 15:1-21
14, Judith 8, Acts 15:22-35
15, Judith 9, Acts 15:36—16:5
16, Judith 10, Acts 16:6-40
17, Judith 11, Acts 17:1-15
18, Judith 12, Acts 17:16-34
19, Judith 13, Acts 18:1-23
20, Judith 14, Acts 18:24—19:7
21, Judith 15, Acts 19:8-20
22, Judith 16, Acts 19:21-41
23, Ecclesiasticus 1, Acts 20:1-16
24, Ecclesiasticus 2, Acts 20:17-38
25, Ecclesiasticus 4, Acts 21:1-16
26, Ecclesiasticus 6, Acts 21:17-36
27, Ecclesiasticus 7, Acts 21:37—22:22
28, Ecclesiasticus 9, Acts 22:23—23:11
29, Ecclesiasticus 10, Acts 23:12-35
30, Ecclesiasticus 11, John 1:35-42
