1, Ecclesiasticus 14, Acts 24:1-23
2, Ecclesiasticus 17, Acts 24:24—25:12
3, Ecclesiasticus 18, Acts 25:13-27
4, Ecclesiasticus 21, Acts 26
5, Ecclesiasticus 34, Acts 27
6, Ecclesiasticus 38, Acts 28:1-15
7, Ecclesiasticus 39, Acts 28:16-31
8, Ecclesiasticus 44, Rev 1
9, Ecclesiasticus 45, Rev 2:1-17
10, Ecclesiasticus 46, Rev 2:18—3:6
11, Ecclesiasticus 47, Rev 3:7-22
12, Ecclesiasticus 48, Rev 4
13, Ecclesiasticus 49, Rev 5
14, Ecclesiasticus 50, Rev 6
15, Ecclesiasticus 51, Rev 7
16, Wisdom 1, Rev 8
17, Wisdom 2, Rev 9
18, Wisdom 3, Rev 10
19, Wisdom 4, Rev 11
20, Wisdom 5, Rev 12
21, Rev 13, John 14:1-7
22, Wisdom 6, Rev 14
23, Wisdom 7, Rev 15
24, Wisdom 8, Rev 16
25, Isa 9:1-7, Rev 17
26, Acts 6:8—7:60, Rev 18
27, Rev 19, John 21:9-25
28, Jer 31:1-17, Rev 20
29, Wisdom 9, Rev 21:1-14
30, Wisdom 10, Rev 21:15—22:5
31, Wisdom 11, Rev 22:6-21
