Mar 22, 4, Feb 4, Apr 30, May 10, Proper 3, Nov 29
Mar 23, 4, Feb 5, May 1, May 11, Proper 3, Nov 30
Mar 24, 4, Feb 6, May 2, May 12, Proper 3, Dec 1
Mar 25, 5, Feb 7, May 3, May 13, Proper 3, Dec 2
Mar 26, 5, Feb 8, May 4, May 14, Proper 3, Dec 3
Mar 27, 5, Feb 9, May 5, May 15, Proper 4, Nov 27
Mar 28, 5, Feb 10, May 6, May 16, Proper 4, Nov 28
Mar 29, 5, Feb 11, May 7, May 17, Proper 4, Nov 29
Mar 30, 5, Feb 12, May 8, May 18, Proper 4, Nov 30
Mar 31, 5, Feb 13, May 9, May 19, Proper 4, Dec 1
Apr 1, 6, Feb 14, May 10, May 20, Proper 4, Dec 2
Apr 2, 6, Feb 15, May 11, May 21, Proper 4, Dec 3
Apr 3, 6, Feb 16, May 12, May 22, Proper 5, Nov 27
Apr 4, 6, Feb 17, May 13, May 23, Proper 5, Nov 28
Apr 5, 6, Feb 18, May 14, May 24, Proper 5, Nov 29
Apr 6, 6, Feb 19, May 15, May 25, Proper 5, Nov 30
Apr 7, 6, Feb 20, May 16, May 26, Proper 5, Dec 1
Apr 8, 7, Feb 21, May 17, May 27, Proper 5, Dec 2
Apr 9, 7, Feb 22, May 18, May 28, Proper 5, Dec 3
Apr 10, 7, Feb 23, May 19, May 29, Proper 6, Nov 27
Apr 11, 7, Feb 24, May 20, May 30, Proper 6, Nov 28
Apr 12, 7, Feb 25, May 21, May 31, Proper 6, Nov 29
Apr 13, 7, Feb 26, May 22, Jun 1, Proper 6, Nov 30
Apr 14, 7, Feb 27, May 23, Jun 2, Proper 6, Dec 1
Apr 15, 8, Feb 28, May 24, Jun 3, Proper 6, Dec 2
Apr 16, 8, Mar 1, May 25, Jun 4, Proper 6, Dec 3
Apr 17, 8, Mar 2, May 26, Jun 5, Proper 7, Nov 27
Apr 18, 8, Mar 3, May 27, Jun 6, Proper 7, Nov 28
Apr 19, 8, Mar 4, May 28, Jun 7, Proper 7, Nov 29
Apr 20, 8, Mar 5, May 29, Jun 8, Proper 7, Nov 30
Apr 21, 8, Mar 6, May 30, Jun 9, Proper 7, Dec 1
Apr 22, 9, Mar 7, May 31, Jun 10, Proper 7, Dec 2
Apr 23, 9, Mar 8, Jun 1, Jun 11, Proper 7, Dec 3
Apr 24, 9, Mar 9, Jun 2, Jun 12, Proper 8, Nov 27
Apr 25, 9, Mar 10, Jun 3, Jun 13, Proper 8, Nov 28
